gene_name,twoD_1,twoD_2,twoD_3,twoD_4,dynamic_1,dynamic_2,dynamic_3,dynamic_4
JAM2,0,12,0,0,3,2,10,0
MRPL39,4864,4875,5293,4961,5942,5434,5074,5891
MIR155,4,0,0,4,0,0,0,0
LOC132345453,0,0,0,0,0,0,0,0
LOC132345452,0,0,0,0,0,0,5,0
LOC112448274,0,0,0,0,0,0,0,0
LOC112448280,0,0,0,0,0,0,0,0
LOC132346259,0,0,0,0,0,0,0,0
LOC132345454,0,0,0,0,0,0,0,0
NCAM2,0,0,0,0,0,0,0,0
LOC132345455,0,0,0,0,0,0,0,0
TRNAV-CAC,0,0,0,0,0,0,0,0
TRNAC-GCA_1,0,0,0,0,0,0,0,0
LOC112448283,0,0,0,0,0,0,0,0
TMPRSS15,0,0,0,0,0,0,0,0
CHODL,0,0,0,0,0,0,0,0
LOC132345456,0,0,0,0,0,0,0,0
TRNAW-CCA,0,0,0,0,0,0,0,0
C1H21orf91,124,188,197,86,186,259,151,453
LOC112448355,0,0,0,0,0,0,0,0
LOC112447286,0,0,0,0,0,0,0,0
BTG3,84,109,328,57,101,472,120,254
TRNAK-UUU,0,2,3,0,0,3,0,0
CXADR,997,697,936,494,1465,2799,1187,1164
LOC132345457,0,0,0,0,1,0,0,0
MIR125B-2,0,0,0,0,0,0,0,0
MIRLET7C,0,0,0,0,0,0,0,0
MIR99A,0,0,0,0,0,0,0,0
USP25,296,138,306,35,41,381,59,82
TRNAW-CCA_1,0,0,0,0,0,0,0,0
TRNAF-GAA,0,0,0,0,0,0,0,0
LOC107132175,19,5,10,25,8,6,0,2
NRIP1,288,131,429,150,272,223,64,356
LOC104976614,55,2,166,152,9,1,8,778
LOC112447289,0,0,0,0,0,0,8,0
SAMSN1,29,0,11,55,76,0,0,388
HSPA13,650,607,565,770,1259,1130,711,1123
ABCC13,0,56,13,10,0,174,12,58
RBM11,40,27,72,48,58,113,59,124
LIPI,3,0,10,0,0,0,4,0
ROBO2,0,0,0,0,0,0,0,0
LOC132345459,0,0,0,0,0,0,0,0
TRNAG-UCC_1,0,0,0,0,0,0,0,0
ROBO1,0,6,39,42,41,42,25,77
LOC132345460,0,0,0,0,0,0,0,0
LOC100848584,0,0,0,0,0,0,0,0
TRNAC-GCA_2,0,0,0,0,0,0,0,0
TRNAC-ACA,0,0,0,0,0,0,0,0
TRNAC-ACA_1,0,0,0,0,0,0,0,0
TRNAS-GGA,0,0,0,0,0,0,0,0
LOC132346260,0,0,0,0,0,0,0,0
GBE1,462,660,861,427,1022,1645,1280,1381
LOC112446987,0,0,0,0,0,0,0,0
LOC112448288,0,0,0,0,0,0,0,0
CADM2,10,4,9,0,0,0,1,7
LOC132345463,1,2,4,1,1,0,0,2
MIR2285CM,0,0,0,0,0,0,0,0
VGLL3,3,16,25,19,1,40,8,30
LOC101902812,1,44,14,23,35,9,53,63
CHMP2B,1576,1107,1123,1330,1395,1848,1471,1753
POU1F1,0,0,0,0,0,0,0,0
LOC132346261,0,0,0,0,0,0,0,0
HTR1F,0,0,0,3,0,13,0,0
CGGBP1,1363,1413,1755,1357,1363,1692,1383,1546
ZNF654,756,541,756,412,532,744,477,1176
LOC104970809,2,17,8,0,11,2,13,3
C1H3orf38,1250,1142,1217,1174,1754,1135,1321,1039
CSNKA2IP,0,0,0,0,0,0,0,0
LOC132345464,0,0,0,0,0,0,0,0
EPHA3,0,0,0,0,0,0,0,0
PROS1,3426,6808,3723,5447,9049,4566,4094,4576
ARL13B,959,1152,936,948,812,1187,613,1109
STX19,6,1,22,4,0,1,0,8
LOC132345466,8,15,11,23,0,0,6,10
LOC132345465,4,5,18,23,0,0,8,11
NSUN3,281,293,255,255,407,265,270,227
LOC132345467,0,0,0,0,0,0,0,0
TRNAY-GUA,0,0,0,0,0,0,0,0
LOC782966,47,45,51,22,95,42,36,28
EPHA6,1,0,0,0,0,1,0,1
LOC112448282,0,0,0,0,0,0,0,0
LOC112448361,0,0,0,0,0,0,0,0
LOC132345484,0,0,0,0,0,0,0,0
ARL6,140,185,108,105,170,43,118,151
LOC101905242,55,3,3,1,2,2,4,118
CRYBG3,130,165,146,67,107,80,38,249
LOC132345493,0,0,0,0,0,0,0,0
RIOX2,1412,1389,1762,1579,1154,2039,2232,1590
GABRR3,11,0,0,0,0,0,0,0
OR5AC31,0,0,0,0,0,0,0,0
OR5AC26,0,0,0,0,0,0,0,0
OR5H28,0,0,0,0,0,0,0,0
OR5K20,0,0,0,0,0,0,0,0
OR5H36,0,0,0,0,0,0,0,0
OR5H30,0,0,0,0,0,0,0,0
OR5H32,0,0,0,0,0,0,0,0
OR5H29,0,0,0,0,0,0,0,0
OR5H33,0,0,7,0,0,0,0,0
OR5H31,0,0,0,0,0,0,0,0
OR5H13,2,0,0,0,0,0,0,0
OR5K19,0,0,0,0,0,0,0,0
OR5K22,0,0,0,0,0,0,0,0
LOC112448299,0,0,0,0,0,0,0,0
OR5K21,0,0,0,0,0,0,0,0
OR5K8,0,0,0,0,0,0,0,0
OR5K1,0,0,0,0,0,0,0,0
CLDND1,642,984,1388,851,1187,1249,1293,1367
GPR15,0,0,0,0,0,0,0,0
LOC112448337,0,0,0,0,0,0,0,0
CPOX,622,687,694,638,1071,648,413,805
LOC100848540,2,0,1,0,0,0,0,0
LOC112448314,0,0,0,0,0,0,0,0
ST3GAL6,543,824,481,630,406,797,250,578
DCBLD2,1835,2787,1529,1979,3121,3630,1819,2577
LOC104970815,8,17,16,1,0,15,0,0
TRNAE-UUC,0,0,0,0,0,0,0,0
LOC132345507,0,0,0,0,0,0,0,0
COL8A1,0,0,0,0,0,0,0,0
CMSS1,1734,1227,1009,771,1136,1134,1391,1108
FILIP1L,370,827,645,243,175,1598,318,586
TMEM30C,8,0,0,0,0,0,0,0
TBC1D23,1341,950,836,1028,782,1200,1430,1318
NIT2,889,778,756,968,1373,1216,1129,694
TOMM70,7247,6448,6188,5499,6836,7320,6144,7301
LNP1,359,176,184,166,218,216,296,225
LOC529036,39,26,59,13,134,115,62,83
LOC132346150,543,321,34,4,25,224,12,27
LOC132345520,634,509,37,6,13,279,11,9
TMEM45A,224,48,17,48,80,178,49,74
ADGRG7,0,0,0,0,0,0,0,0
TFG,7443,6950,9428,5700,8684,9676,6777,10149
ABI3BP,5,4,5,2,2,3,2,5
LOC132346262,5,1,12,3,3,6,7,7
IMPG2,68,4,1,3,34,115,4,30
SENP7,284,214,152,201,343,120,205,317
TRNAS-GGA_1,0,0,0,0,0,0,0,0
LOC524181,169,92,113,68,162,84,79,177
TRMT10C,1751,1664,2039,1267,1654,1282,1510,2373
PCNP,2478,2439,2522,2438,3098,2609,2487,3062
ZBTB11,941,750,668,517,871,503,810,1179
RPL24,5191,4885,5879,5367,8990,5486,6595,4565
CEP97,301,277,220,148,380,46,259,258
NXPE3,2398,3101,4071,2842,4441,2116,3326,3520
NFKBIZ,68,79,132,80,146,141,47,110
LOC112448293,0,0,0,0,0,0,2,0
LOC112446989,0,0,0,0,0,0,0,0
TRNAW-CCA_2,0,0,0,0,0,0,0,0
MIR2285DK,0,0,0,0,0,0,0,0
ZPLD1,0,0,0,0,0,0,0,0
TRNAF-AAA,0,0,0,0,0,0,0,0
LOC112448303,0,0,0,0,0,0,0,0
ALCAM,0,0,79,1,0,114,1,237
TRNAW-CCA_3,0,0,0,0,0,0,0,0
LOC132345526,0,0,0,0,0,0,0,0
CBLB,47,34,88,77,69,30,6,85
LOC132345528,0,0,0,0,0,0,0,0
LOC112446991,0,0,2,0,0,11,1,2
LOC100848469,186,59,262,32,84,152,110,194
MIR2286,0,0,0,0,0,0,0,0
CCDC54,0,0,0,0,0,0,0,35
LOC132345532,0,0,0,0,0,0,0,0
BBX,1307,2189,1521,1674,2696,734,1347,2246
TRNAC-ACA_2,0,0,0,0,0,0,0,0
LOC101910021,30,2,5,0,1,0,0,25
LOC132345538,0,0,0,0,0,0,0,0
CD47,710,951,992,834,815,1259,662,1569
LOC132345540,0,0,0,4,22,2,13,0
IFT57,854,896,673,753,1209,385,1084,753
HHLA2,80,133,77,173,313,78,120,35
MYH15,16,0,0,0,0,0,0,59
LOC132345552,0,0,0,0,0,0,0,0
CIP2A,571,1007,978,736,577,700,729,1193
DZIP3,85,62,100,73,107,94,73,184
TRNAC-ACA_3,0,0,0,0,0,0,0,0
LOC132345555,671,177,355,196,626,298,678,403
TRAT1,0,207,1,42,0,0,155,47
MORC1,1,1,0,0,0,0,0,0
C1H3orf85,0,0,0,0,0,0,0,0
LOC132345557,16,23,6,16,0,4,4,21
DPPA2,5451,3295,5004,3483,6004,2832,4407,4390
DPPA4,2569,2907,2146,2528,4540,2214,2974,2758
LOC112446992,0,0,0,0,0,0,0,0
LOC614129,2,3,4,1,1,3,3,4
LOC132346264,0,0,0,0,0,0,0,0
LOC112448372,0,0,0,0,0,0,0,0
LOC112446993,0,0,0,0,0,0,0,0
TRNAE-UUC_1,0,0,0,0,1,0,1,1
LOC132346265,0,0,0,0,0,0,0,0
LOC132346266,0,0,0,0,0,0,0,0
NECTIN3,106,188,177,148,111,130,49,343
CD96,0,0,0,0,0,0,0,0
ZBED2,14,0,0,0,0,0,0,0
LOC104970843,0,0,0,0,0,0,0,0
PLCXD2,8,5,14,22,0,42,0,427
PHLDB2,190,382,316,455,414,1623,474,646
LOC112447299,0,0,0,0,0,0,5,9
LOC112447298,0,4,0,8,0,1,6,5
ABHD10,404,469,637,554,1274,547,523,559
TAGLN3,0,0,0,0,0,0,0,0
LOC112447300,0,0,0,0,0,0,0,0
TMPRSS7,0,0,0,0,0,0,0,0
C1H3orf52,139,352,604,158,337,897,446,313
GCSAM,0,0,0,0,0,0,0,0
SLC9C1,7,5,23,3,0,8,0,22
LOC104970846,0,11,21,0,0,0,3,0
LOC132345589,0,0,0,0,0,0,0,0
CD200,8,14,7,3,0,0,5,0
BTLA,0,0,0,0,0,0,0,0
ATG3,2508,2270,3151,2087,2205,2789,1463,3672
SLC35A5,386,389,458,380,477,588,375,657
CCDC80,0,0,0,1,1,0,0,0
LOC132345593,0,0,0,0,0,0,0,0
CD200R1L,0,0,0,0,0,0,0,0
LOC516008,0,0,0,0,0,0,0,0
GTPBP8,434,482,312,332,476,459,299,358
NEPRO,251,184,286,235,427,133,168,305
BOC,0,1,0,0,0,20,32,18
CFAP44,0,21,0,1,11,0,1,0
SPICE1,225,273,416,241,682,392,515,678
SIDT1,0,0,8,0,0,5,0,0
LOC112448360,0,0,0,0,0,0,0,0
USF3,423,354,539,453,274,549,521,355
NAA50,4571,4546,4251,3182,3907,4142,3869,6740
ATP6V1A,12341,9278,15631,10850,18586,14501,17189,22054
GRAMD1C,717,722,1050,814,1064,1060,1382,948
ZDHHC23,1587,1920,1033,1873,1466,1914,782,792
CCDC191,277,116,209,302,305,92,217,152
QTRT2,1240,966,1035,964,1612,433,988,1351
DRD3,20,0,0,0,0,0,0,0
LOC112448369,0,0,0,0,0,0,0,0
TIGIT,0,0,2,0,0,0,0,0
ZBTB20,22,0,17,12,1,18,19,28
MIR568,0,0,0,0,0,0,0,0
LOC132346250,0,0,0,6,0,0,0,0
TRNAS-GGA_2,0,0,0,0,0,0,0,0
GAP43,0,0,0,0,0,0,0,0
LSAMP,43,3,0,24,102,17,22,29
TRNAK-UUU_1,0,0,0,0,0,0,0,0
TRNAC-GCA_3,0,0,0,0,0,0,0,0
TRNAR-GCG,0,0,0,0,0,0,0,0
MIR2285DE,0,0,0,0,0,0,0,0
TRNAW-CCA_4,0,0,0,0,0,0,0,0
IGSF11,7,36,5,12,222,40,21,40
LOC101901963,0,0,0,0,0,0,0,0
TEX55,0,0,0,0,0,0,0,0
UPK1B,0,0,0,0,0,0,0,1
B4GALT4,137,127,216,116,0,312,39,93
ARHGAP31,62,96,29,111,106,3,6,171
TMEM39A,657,1025,1113,805,1129,1083,1152,1362
POGLUT1,295,140,51,107,264,383,208,148
TIMMDC1,504,388,799,389,629,496,686,830
CD80,2,5,1,0,0,0,23,17
ADPRH,0,34,152,1,0,54,12,344
PLA1A,6,4,39,0,0,0,0,10
POPDC2,0,0,0,0,0,0,0,0
COX17,1157,936,2228,751,1591,1086,1834,2334
LOC132345639,0,1,0,0,0,0,5,0
CFAP91,7,88,0,0,0,0,76,0
NR1I2,0,0,0,0,0,1,0,0
GSK3B,715,665,977,589,1200,1058,671,1166
MIR6529B,0,0,0,0,0,0,0,0
