Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Other Interleukin Signaling R-HSA-449836,Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,SDC1
Sema4D In Semaphorin Signaling R-HSA-400685,Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,MYH9
Signaling By Erythropoietin R-HSA-9006335,Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,CRKL
Estrogen-dependent Nuclear Events Downstream Of ESR-membrane Signaling R-HSA-9634638,Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,FOS
Glycogen Metabolism R-HSA-8982491,Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,PYGL
"Incretin Synthesis, Secretion, And Inactivation R-HSA-400508",Jan 24,0.239755826,0.4963635,0,0,3.799538284,5.426250813,GATA4
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,Feb 84,0.246955778,0.504576579,0,0,2.134525745,2.985232431,MYC;PSMB8
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,Feb 84,0.246955778,0.504576579,0,0,2.134525745,2.985232431,MYC;PSMB8
Basigin Interactions R-HSA-210991,Jan 25,0.248394952,0.504576579,0,0,3.641039823,5.071004514,SLC16A3
Regulation Of IFNA/IFNB Signaling R-HSA-912694,Jan 25,0.248394952,0.504576579,0,0,3.641039823,5.071004514,USP18
Fertilization R-HSA-1187000,Jan 25,0.248394952,0.504576579,0,0,3.641039823,5.071004514,CD9
TRAF6 Mediated NF-kB Activation R-HSA-933542,Jan 25,0.248394952,0.504576579,0,0,3.641039823,5.071004514,MAVS
Hedgehog On State R-HSA-5632684,Feb 85,0.251159845,0.508598687,0,0,2.108701473,2.913520514,BOC;PSMB8
Cell Junction Organization R-HSA-446728,Feb 86,0.255365898,0.509158239,0,0,2.083492063,2.844087236,CDH2;FLNA
Signaling By FGFR R-HSA-190236,Feb 86,0.255365898,0.509158239,0,0,2.083492063,2.844087236,PTBP1;FLRT2
GAG Synthesis Requires Tetrasaccharide Linker Sequence R-HSA-1971475,Jan 26,0.256936333,0.509158239,0,0,3.495221239,4.749750355,SDC1
Caspase Activation Via Extrinsic Apoptotic Signaling Pathway R-HSA-5357769,Jan 26,0.256936333,0.509158239,0,0,3.495221239,4.749750355,MAGED1
FGFR2 Alternative Splicing R-HSA-6803529,Jan 26,0.256936333,0.509158239,0,0,3.495221239,4.749750355,PTBP1
Synthesis Of IP3 And IP4 In Cytosol R-HSA-1855204,Jan 26,0.256936333,0.509158239,0,0,3.495221239,4.749750355,ITPKB
Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960,Jan 26,0.256936333,0.509158239,0,0,3.495221239,4.749750355,TUBB4B
Fcgamma Receptor (FCGR) Dependent Phagocytosis R-HSA-2029480,Feb 87,0.259573352,0.512815646,0,0,2.058875817,2.776838653,MYH9;ACTG1
ATF4 Activates Genes In Response To Endoplasmic Reticulum Stress R-HSA-380994,Jan 27,0.265381072,0.5186468,0,0,3.360619469,4.458159073,ATF4
"BMAL1:CLOCK,NPAS2 Activates Circadian Gene Expression R-HSA-1368108",Jan 27,0.265381072,0.5186468,0,0,3.360619469,4.458159073,SERPINE1
G0 And Early G1 R-HSA-1538133,Jan 27,0.265381072,0.5186468,0,0,3.360619469,4.458159073,MYC
Peptide Hormone Metabolism R-HSA-2980736,Feb 89,0.267990193,0.5186468,0,0,2.011340996,2.648543664,GATA4;INHBA
ER-Phagosome Pathway R-HSA-1236974,Feb 89,0.267990193,0.5186468,0,0,2.011340996,2.648543664,PSMB8;TAPBP
Interferon Gamma Signaling R-HSA-877300,Feb 89,0.267990193,0.5186468,0,0,2.011340996,2.648543664,TRIM5;NCAM1
Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168,5/307,0.270284899,0.5186468,0,0,1.45210608,1.899759446,SPSB1;UBA7;ASB9;UBE2O;PSMB8
MAPK6/MAPK4 Signaling R-HSA-5687128,Feb 90,0.272198476,0.5186468,0,0,1.988383838,2.587332351,MYC;PSMB8
"Antigen Presentation: Folding, Assembly, Peptide Loading Of Class I MHC R-HSA-983170",Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,TAPBP
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,TUBB4B
Recycling Pathway Of L1 R-HSA-437239,Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,DPYSL2
TRAF6 Mediated IRF7 Activation R-HSA-933541,Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,MAVS
Mitophagy R-HSA-5205647,Jan 28,0.273730255,0.5186468,0,0,3.235988201,4.192585556,ULK1
