Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
Ubiquitin Mediated Degradation Of Phosphorylated Cdc25A R-HSA-69601,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PSMB8
Ubiquitin-dependent Degradation Of Cyclin D R-HSA-75815,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PSMB8
Vpu Mediated Degradation Of CD4 R-HSA-180534,Jan 51,0.441718532,0.624964211,0,0,1.74539823,1.426134183,PSMB8
Regulation Of Apoptosis R-HSA-169911,Jan 52,0.448071213,0.629826781,0,0,1.711087975,1.373666733,PSMB8
SARS-CoV-1 Infection R-HSA-9678108,Jan 52,0.448071213,0.629826781,0,0,1.711087975,1.373666733,PARP14
IGF1R Signaling Cascade R-HSA-2428924,Jan 52,0.448071213,0.629826781,0,0,1.711087975,1.373666733,IGF2
Adaptive Immune System R-HSA-1280218,9/733,0.453010341,0.630658049,0,0,1.086224593,0.860116435,SPSB1;UBA7;ASB9;DAPP1;UBE2O;ITGAV;EVL;PSMB8;TAPBP
Signaling By Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R) R-HSA-2404192,Jan 53,0.454351922,0.630658049,0,0,1.678097345,1.323822843,IGF2
Heparan Sulfate/Heparin (HS-GAG) Metabolism R-HSA-1638091,Jan 53,0.454351922,0.630658049,0,0,1.678097345,1.323822843,SDC1
Vif-mediated Degradation Of APOBEC3G R-HSA-180585,Jan 53,0.454351922,0.630658049,0,0,1.678097345,1.323822843,PSMB8
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Jan 53,0.454351922,0.630658049,0,0,1.678097345,1.323822843,PSMB8
Signaling By Hedgehog R-HSA-5358351,2/135,0.45450202,0.630658049,0,0,1.312614871,1.03506629,BOC;PSMB8
AUF1 (hnRNP D0) Binds And Destabilizes mRNA R-HSA-450408,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,PSMB8
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,PSMB8
SCF-beta-TrCP Mediated Degradation Of Emi1 R-HSA-174113,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,PSMB8
Degradation Of AXIN R-HSA-4641257,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,PSMB8
FBXL7 Down-Regulates AURKA During Mitotic Entry And In Early Mitosis R-HSA-8854050,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,PSMB8
Interleukin-12 Family Signaling R-HSA-447115,Jan 54,0.46056147,0.630959476,0,0,1.646351645,1.276431161,IL27RA
Complement Cascade R-HSA-166658,Jan 55,0.46670066,0.632682066,0,0,1.615781711,1.231334265,CLU
Degradation Of DVL R-HSA-4641258,Jan 55,0.46670066,0.632682066,0,0,1.615781711,1.231334265,PSMB8
Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,Jan 55,0.46670066,0.632682066,0,0,1.615781711,1.231334265,MYH9
Golgi Associated Vesicle Biogenesis R-HSA-432722,Jan 55,0.46670066,0.632682066,0,0,1.615781711,1.231334265,PUM1
Hh Mutants Are Degraded By ERAD R-HSA-5362768,Jan 55,0.46670066,0.632682066,0,0,1.615781711,1.231334265,PSMB8
Death Receptor Signaling R-HSA-73887,2/139,0.469539293,0.635201382,0,0,1.274030819,0.963171493,MAGED1;OTULIN
Stabilization Of P53 R-HSA-69541,Jan 56,0.472770285,0.638239885,0,0,1.586323411,1.188387303,PSMB8
SUMOylation Of Chromatin Organization Proteins R-HSA-4551638,Jan 57,0.478771132,0.639615873,0,0,1.557917193,1.147456801,PHC2
Signaling By ERBB4 R-HSA-1236394,Jan 57,0.478771132,0.639615873,0,0,1.557917193,1.147456801,SPARC
NRAGE Signals Death Thru JNK R-HSA-193648,Jan 57,0.478771132,0.639615873,0,0,1.557917193,1.147456801,MAGED1
Neurexins And Neuroligins R-HSA-6794361,Jan 57,0.478771132,0.639615873,0,0,1.557917193,1.147456801,SYT1
Beta-catenin Independent WNT Signaling R-HSA-3858494,2/142,0.480654385,0.639615873,0,0,1.246539683,0.91322345,MYC;PSMB8
Clathrin-mediated Endocytosis R-HSA-8856828,2/142,0.480654385,0.639615873,0,0,1.246539683,0.91322345,SYT1;LDLR
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,Jan 58,0.484703975,0.639615873,0,0,1.530507685,1.108419585,MYC
Hh Mutants Abrogate Ligand Secretion R-HSA-5387390,Jan 58,0.484703975,0.639615873,0,0,1.530507685,1.108419585,PSMB8
Late SARS-CoV-2 Infection Events R-HSA-9772573,Jan 58,0.484703975,0.639615873,0,0,1.530507685,1.108419585,PARP14
Metabolism Of Polyamines R-HSA-351202,Jan 58,0.484703975,0.639615873,0,0,1.530507685,1.108419585,PSMB8
NIK To Noncanonical NF-kB Signaling R-HSA-5676590,Jan 58,0.484703975,0.639615873,0,0,1.530507685,1.108419585,PSMB8
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,PSMB8
Degradation Of GLI1 By Proteasome R-HSA-5610780,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,PSMB8
Degradation Of GLI2 By Proteasome R-HSA-5610783,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,PSMB8
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,PSMB8
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,PSMB8
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,Jan 59,0.490569582,0.639615873,0,0,1.504043332,1.07116184,MYC
Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,Jan 60,0.496368711,0.640476711,0,0,1.478476076,1.035578252,PSMB8
Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722,Jan 60,0.496368711,0.640476711,0,0,1.478476076,1.035578252,MYC
HDACs Deacetylate Histones R-HSA-3214815,Jan 60,0.496368711,0.640476711,0,0,1.478476076,1.035578252,MTA1
rRNA Modification In Nucleus And Cytosol R-HSA-6790901,Jan 60,0.496368711,0.640476711,0,0,1.478476076,1.035578252,RPS2
Meiotic Synapsis R-HSA-1221632,Jan 60,0.496368711,0.640476711,0,0,1.478476076,1.035578252,PMEPA1
Mitotic G1 Phase And G1/S Transition R-HSA-453279,2/147,0.498859467,0.640476711,0,0,1.203249042,0.836776508,MYC;PSMB8
Post NMDA Receptor Activation Events R-HSA-438064,Jan 61,0.502102113,0.640476711,0,0,1.453761062,1.001571253,GRIA2
Ca2+ Pathway R-HSA-4086398,Jan 61,0.502102113,0.640476711,0,0,1.453761062,1.001571253,MYC
Cell-cell Junction Organization R-HSA-421270,Jan 61,0.502102113,0.640476711,0,0,1.453761062,1.001571253,CDH2
Dectin-1 Mediated Noncanonical NF-kB Signaling R-HSA-5607761,Jan 61,0.502102113,0.640476711,0,0,1.453761062,1.001571253,PSMB8
Selective Autophagy R-HSA-9663891,Jan 61,0.502102113,0.640476711,0,0,1.453761062,1.001571253,ULK1
Neddylation R-HSA-8951664,3/237,0.505876064,0.642647076,0,0,1.118303571,0.762083147,SPSB1;ASB9;PSMB8
Asymmetric Localization Of PCP Proteins R-HSA-4608870,Jan 62,0.507770529,0.642647076,0,0,1.429856376,0.969050338,PSMB8
RHO GTPases Activate PKNs R-HSA-5625740,Jan 62,0.507770529,0.642647076,0,0,1.429856376,0.969050338,MYH9
TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,Jan 62,0.507770529,0.642647076,0,0,1.429856376,0.969050338,FOS
Peroxisomal Protein Import R-HSA-9033241,Jan 63,0.513374693,0.645954954,0,0,1.406722809,0.937931454,CRAT
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Jan 63,0.513374693,0.645954954,0,0,1.406722809,0.937931454,PSMB8
Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949,Jan 63,0.513374693,0.645954954,0,0,1.406722809,0.937931454,ZBP1
Interleukin-1 Family Signaling R-HSA-446652,2/152,0.516653248,0.648820358,0,0,1.162844444,0.767923086,USP18;PSMB8
Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176,Jan 64,0.51891533,0.649145046,0,0,1.384323641,0.90813645,PSMB8
Hedgehog Ligand Biogenesis R-HSA-5358346,Jan 64,0.51891533,0.649145046,0,0,1.384323641,0.90813645,PSMB8
Metabolism Of Steroids R-HSA-8957322,2/153,0.520161676,0.649450416,0,0,1.155084621,0.754981328,MBTPS1;SCD
Regulation Of RAS By GAPs R-HSA-5658442,Jan 65,0.524393156,0.650970815,0,0,1.362624447,0.879592582,PSMB8
FOXO-mediated Transcription R-HSA-9614085,Jan 65,0.524393156,0.650970815,0,0,1.362624447,0.879592582,BTG1
p53-Dependent G1 DNA Damage Response R-HSA-69563,Jan 65,0.524393156,0.650970815,0,0,1.362624447,0.879592582,PSMB8
Diseases Of Signal Transduction By Growth Factor Receptors And Second Messengers R-HSA-5663202,5/424,0.528406528,0.653935534,0,0,1.040336279,0.663619435,PDGFRA;MYC;MYH9;PSMB8;DUSP7
Activation Of NF-kappaB In B Cells R-HSA-1169091,Jan 66,0.529808882,0.653935534,0,0,1.34159292,0.852232062,PSMB8
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,Jan 66,0.529808882,0.653935534,0,0,1.34159292,0.852232062,THBS1
Transmission Across Chemical Synapses R-HSA-112315,3/246,0.530901755,0.654038664,0,0,1.076388889,0.68154608,GRIA2;SYT1;DNAJC5
SLC-mediated Transmembrane Transport R-HSA-425407,3/247,0.533638864,0.65431275,0,0,1.07192257,0.673205913,SLC12A4;SLC16A3;SLC25A6
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,Jan 67,0.535163206,0.65431275,0,0,1.321198713,0.825991662,PSMB8
Regulation Of PTEN Stability And Activity R-HSA-8948751,Jan 67,0.535163206,0.65431275,0,0,1.321198713,0.825991662,PSMB8
G1/S DNA Damage Checkpoints R-HSA-69615,Jan 67,0.535163206,0.65431275,0,0,1.321198713,0.825991662,PSMB8
Orc1 Removal From Chromatin R-HSA-68949,Jan 69,0.545690419,0.662186127,0,0,1.282209787,0.776638907,PSMB8
RHOB GTPase Cycle R-HSA-9013026,Jan 69,0.545690419,0.662186127,0,0,1.282209787,0.776638907,PCDH7
Circadian Clock R-HSA-400253,Jan 69,0.545690419,0.662186127,0,0,1.282209787,0.776638907,SERPINE1
Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,Jan 69,0.545690419,0.662186127,0,0,1.282209787,0.776638907,TUBB4B
trans-Golgi Network Vesicle Budding R-HSA-199992,Jan 71,0.555980247,0.673411589,0,0,1.245448799,0.731106483,PUM1
AURKA Activation By TPX2 R-HSA-8854518,Jan 72,0.561037811,0.673945397,0,0,1.227844946,0.70965383,TUBB4B
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Jan 72,0.561037811,0.673945397,0,0,1.227844946,0.70965383,PSMB8
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Jan 72,0.561037811,0.673945397,0,0,1.227844946,0.70965383,PSMB8
Signaling By FGFR2 R-HSA-5654738,Jan 72,0.561037811,0.673945397,0,0,1.227844946,0.70965383,PTBP1
RHO GTPase Cycle R-HSA-9012999,5/441,0.563405531,0.673945397,0,0,0.998894537,0.573121341,PCDH7;AMIGO2;WDR6;VIM;ACTG1
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Jan 73,0.566038019,0.673945397,0,0,1.210730088,0.689019267,PSMB8
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Jan 73,0.566038019,0.673945397,0,0,1.210730088,0.689019267,PSMB8
Cellular Response To Hypoxia R-HSA-1234174,Jan 73,0.566038019,0.673945397,0,0,1.210730088,0.689019267,PSMB8
Extra-nuclear Estrogen Signaling R-HSA-9009391,Jan 73,0.566038019,0.673945397,0,0,1.210730088,0.689019267,FOS
Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755,Jan 74,0.570981517,0.673945397,0,0,1.194084131,0.669162883,GRIA2
Positive Epigenetic Regulation Of rRNA Expression R-HSA-5250913,Jan 74,0.570981517,0.673945397,0,0,1.194084131,0.669162883,MTA1
RNA Polymerase II Transcribes snRNA Genes R-HSA-6807505,Jan 74,0.570981517,0.673945397,0,0,1.194084131,0.669162883,ICE1
"Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998",Jan 74,0.570981517,0.673945397,0,0,1.194084131,0.669162883,MAGED1
Signaling By NOTCH1 R-HSA-1980143,Jan 74,0.570981517,0.673945397,0,0,1.194084131,0.669162883,MYC
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Jan 75,0.575868946,0.677246964,0,0,1.177888065,0.650047174,PSMB8
Nuclear Envelope (NE) Reassembly R-HSA-2995410,Jan 75,0.575868946,0.677246964,0,0,1.177888065,0.650047174,TUBB4B
Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,Jan 76,0.58070094,0.680459691,0,0,1.162123894,0.631636868,PSMB8
Protein Ubiquitination R-HSA-8852135,Jan 76,0.58070094,0.680459691,0,0,1.162123894,0.631636868,OTULIN
Regulation Of Insulin Secretion R-HSA-422356,Jan 77,0.585478123,0.684819176,0,0,1.146774569,0.613898772,MARCKS
Oncogenic MAPK Signaling R-HSA-6802957,Jan 78,0.590201116,0.685394844,0,0,1.131823928,0.59680162,DUSP7
RNA Polymerase I Promoter Clearance R-HSA-73854,Jan 78,0.590201116,0.685394844,0,0,1.131823928,0.59680162,MTA1
Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,Jan 78,0.590201116,0.685394844,0,0,1.131823928,0.59680162,PDGFRA
FCERI Mediated NF-kB Activation R-HSA-2871837,Jan 78,0.590201116,0.685394844,0,0,1.131823928,0.59680162,PSMB8
RNA Polymerase I Transcription R-HSA-73864,Jan 79,0.594870529,0.688350184,0,0,1.117256637,0.58031594,MTA1
Downstream Signaling Events Of B Cell Receptor (BCR) R-HSA-1168372,Jan 79,0.594870529,0.688350184,0,0,1.117256637,0.58031594,PSMB8
Disorders Of Transmembrane Transporters R-HSA-5619115,2/176,0.596074008,0.688483916,0,0,1.001226054,0.518024794,ABCB6;PSMB8
Generic Transcription Pathway R-HSA-212436,13/1190,0.597111051,0.688483916,0,0,0.959782117,0.49491373,GRIA2;PHC2;BTG1;SERPINE1;GATA4;FOS;THBS1;RUNX2;PSMB8;COL1A1;MYC;SGK1;SKIL
Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320,Jan 80,0.599486969,0.688772263,0,0,1.103058138,0.564413936,TUBB4B
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Jan 80,0.599486969,0.688772263,0,0,1.103058138,0.564413936,PSMB8
Centrosome Maturation R-HSA-380287,Jan 81,0.604051034,0.691563728,0,0,1.089214602,0.549069368,TUBB4B
Signaling By NOTCH4 R-HSA-9013694,Jan 81,0.604051034,0.691563728,0,0,1.089214602,0.549069368,PSMB8
PI Metabolism R-HSA-1483255,Jan 82,0.608563315,0.695500931,0,0,1.075712881,0.534257451,PIP5K1A
mRNA Splicing - Major Pathway R-HSA-72163,2/181,0.611343913,0.69744869,0,0,0.973010552,0.47881422,HNRNPL;PTBP1
Cell Cycle R-HSA-1640170,7/654,0.615631987,0.701106376,0,0,0.940578896,0.456280388,ESPL1;MYC;RCC2;PMEPA1;TUBB4B;PHLDA1;PSMB8
Transcriptional Regulation Of White Adipocyte Differentiation R-HSA-381340,Jan 84,0.617434859,0.701925945,0,0,1.049685468,0.506139131,CEBPD
"Transport Of Bile Salts And Organic Acids, Metal Ions And Amine Compounds R-HSA-425366",Jan 86,0.626106203,0.710513347,0,0,1.024882874,0.479886308,SLC16A3
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Jan 87,0.630368209,0.710513347,0,0,1.01291418,0.467410435,PSMB8
Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,Jan 87,0.630368209,0.710513347,0,0,1.01291418,0.467410435,TUBB4B
RNA Polymerase II Transcription R-HSA-73857,14/1312,0.633610742,0.710513347,0,0,0.935531008,0.426901963,GRIA2;PHC2;BTG1;ICE1;SERPINE1;GATA4;FOS;THBS1;RUNX2;PSMB8;COL1A1;MYC;SGK1;SKIL
PCP/CE Pathway R-HSA-4086400,Jan 88,0.634581845,0.710513347,0,0,1.001220629,0.455344138,PSMB8
Protein-protein Interactions At Synapses R-HSA-6794362,Jan 88,0.634581845,0.710513347,0,0,1.001220629,0.455344138,SYT1
Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531,Jan 88,0.634581845,0.710513347,0,0,1.001220629,0.455344138,PSMB8
Meiosis R-HSA-1500620,Jan 88,0.634581845,0.710513347,0,0,1.001220629,0.455344138,PMEPA1
mRNA Splicing R-HSA-72172,2/189,0.634856833,0.710513347,0,0,0.931004159,0.423007107,HNRNPL;PTBP1
Antimicrobial Peptides R-HSA-6803157,Jan 89,0.638747655,0.711182956,0,0,0.98979284,0.443670492,CLU
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,Jan 89,0.638747655,0.711182956,0,0,0.98979284,0.443670492,ULK1
Sphingolipid Metabolism R-HSA-428157,Jan 89,0.638747655,0.711182956,0,0,0.98979284,0.443670492,ARSJ
Chaperonin-mediated Protein Folding R-HSA-390466,Jan 90,0.642866182,0.71331727,0,0,0.978621855,0.432373428,TUBB4B
Switching Of Origins To A Post-Replicative State R-HSA-69052,Jan 90,0.642866182,0.71331727,0,0,0.978621855,0.432373428,PSMB8
HCMV Late Events R-HSA-9610379,Jan 91,0.646937959,0.7166082,0,0,0.967699115,0.421437687,CEBPD
Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,Jan 92,0.650963514,0.719327634,0,0,0.957016435,0.410848768,LSAMP
Muscle Contraction R-HSA-397014,2/196,0.654509327,0.719327634,0,0,0.897090493,0.380249248,GATA4;VIM
Unattached Kinetochores Signal Amplification Via A MAD2 Inhibitory Signal R-HSA-141444,Jan 93,0.65494337,0.719327634,0,0,0.946565987,0.400592883,RCC2
RAC3 GTPase Cycle R-HSA-9013423,Jan 93,0.65494337,0.719327634,0,0,0.946565987,0.400592883,AMIGO2
VEGFA-VEGFR2 Pathway R-HSA-4420097,Jan 93,0.65494337,0.719327634,0,0,0.946565987,0.400592883,ITGAV
Downstream TCR Signaling R-HSA-202424,Jan 94,0.658878044,0.721804527,0,0,0.93634028,0.390656918,PSMB8
TCF Dependent Signaling In Response To WNT R-HSA-201681,2/198,0.65996782,0.721804527,0,0,0.887845805,0.368956935,MYC;PSMB8
UCH Proteinases R-HSA-5689603,Jan 95,0.662768046,0.721804527,0,0,0.926332141,0.38102839,PSMB8
P75 NTR Receptor-Mediated Signaling R-HSA-193704,Jan 95,0.662768046,0.721804527,0,0,0.926332141,0.38102839,MAGED1
Metabolism Of Nucleotides R-HSA-15869,Jan 95,0.662768046,0.721804527,0,0,0.926332141,0.38102839,AMPD2
Protein Folding R-HSA-391251,Jan 96,0.666613881,0.724774824,0,0,0.9165347,0.371695414,TUBB4B
Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912,Jan 97,0.670416048,0.726470902,0,0,0.906941372,0.362646667,TUBB4B
EML4 And NUDC In Mitotic Spindle Formation R-HSA-9648025,Jan 97,0.670416048,0.726470902,0,0,0.906941372,0.362646667,RCC2
Signaling By NOTCH R-HSA-157118,2/203,0.673312722,0.726897549,0,0,0.865538972,0.342359948,MYC;PSMB8
RUNX1 Regulates Transcription Of Genes Involved In Differentiation Of HSCs R-HSA-8939236,Jan 98,0.674175042,0.726897549,0,0,0.897545844,0.353871357,PSMB8
Hedgehog Off State R-HSA-5610787,Jan 98,0.674175042,0.726897549,0,0,0.897545844,0.353871357,PSMB8
CLEC7A (Dectin-1) Signaling R-HSA-5607764,Jan 99,0.67789135,0.729690356,0,0,0.888342062,0.345359194,PSMB8
TNFR2 Non-Canonical NF-kB Pathway R-HSA-5668541,1/100,0.681565454,0.731774991,0,0,0.879324216,0.337100359,PSMB8
Gene Expression (Transcription) R-HSA-74160,15/1449,0.682086566,0.731774991,0,0,0.904861056,0.346198664,GRIA2;PHC2;BTG1;ICE1;SERPINE1;GATA4;FOS;THBS1;RUNX2;PSMB8;COL1A1;MTA1;MYC;SGK1;SKIL
Signaling By VEGF R-HSA-194138,1/102,0.688788956,0.737744205,0,0,0.861824236,0.321305621,ITGAV
Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393,1/104,0.695849303,0.744076482,0,0,0.845003866,0.306417128,SLC12A4
PI3K/AKT Signaling In Cancer R-HSA-2219528,1/105,0.699319442,0.746555187,0,0,0.836836283,0.299292524,PDGFRA
Sensory Perception R-HSA-9709957,6/616,0.703656205,0.749949376,0,0,0.852889252,0.299761052,GSN;DNAJC5;SDC1;MYH9;LDLR;LRP12
Phase II - Conjugation Of Compounds R-HSA-156580,1/107,0.706141907,0.751362818,0,0,0.820963433,0.285645245,PAPSS2
Assembly Of Pre-Replicative Complex R-HSA-68867,1/110,0.716087686,0.759451425,0,0,0.798246326,0.266576478,PSMB8
Mitotic Spindle Checkpoint R-HSA-69618,1/110,0.716087686,0.759451425,0,0,0.798246326,0.266576478,RCC2
Macroautophagy R-HSA-1632852,1/114,0.728829274,0.771701584,0,0,0.76983319,0.243510376,ULK1
Epigenetic Regulation Of Gene Expression R-HSA-212165,1/116,0.734984923,0.776737046,0,0,0.756367834,0.232889659,MTA1
HIV Infection R-HSA-162906,2/229,0.735982324,0.776737046,0,0,0.765384239,0.234627908,PSMB8;SLC25A6
Synthesis Of DNA R-HSA-69239,1/119,0.743958502,0.783878227,0,0,0.737025649,0.217990092,PSMB8
SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671,1/121,0.749772165,0.787443052,0,0,0.724668142,0.208694206,MAVS
HCMV Infection R-HSA-9609646,1/121,0.749772165,0.787443052,0,0,0.724668142,0.208694206,CEBPD
Rab Regulation Of Trafficking R-HSA-9007101,1/122,0.752629521,0.789164935,0,0,0.71864258,0.204225412,ULK1
Chromatin Modifying Enzymes R-HSA-3247509,2/238,0.755169851,0.790549375,0,0,0.735856874,0.206637873,MTA1;RPS2
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203,2/242,0.763306139,0.796943727,0,0,0.723444444,0.195399521,HNRNPL;PTBP1
Cardiac Conduction R-HSA-5576891,1/126,0.763737739,0.796943727,0,0,0.695504425,0.18745988,GATA4
DNA Replication Pre-Initiation R-HSA-69002,1/127,0.766436299,0.798473829,0,0,0.689949431,0.183529095,PSMB8
Autophagy R-HSA-9612973,1/128,0.769104171,0.799967099,0,0,0.684481918,0.179696255,ULK1
Leishmania Infection R-HSA-9658195,2/247,0.773147239,0.802883671,0,0,0.708498866,0.182286677,MYH9;ACTG1
Factors Involved In Megakaryocyte Development And Platelet Production R-HSA-983231,1/136,0.789383238,0.818432541,0,0,0.643657817,0.15222723,GATA4
C-type Lectin Receptors (CLRs) R-HSA-5621481,1/141,0.801146717,0.829302033,0,0,0.62051201,0.137574451,PSMB8
Membrane Trafficking R-HSA-199991,5/599,0.813616276,0.839006493,0,0,0.727204477,0.149997871,SYT1;MYH9;ULK1;PUM1;LDLR
RHOA GTPase Cycle R-HSA-8980692,1/147,0.81440245,0.839006493,0,0,0.594829676,0.122118905,PCDH7
Cell Cycle Checkpoints R-HSA-69620,2/271,0.815571858,0.839006493,0,0,0.644494011,0.131390252,RCC2;PSMB8
G2/M Checkpoints R-HSA-69481,1/148,0.816524561,0.839006493,0,0,0.590753115,0.119744644,PSMB8
Neuronal System R-HSA-112316,3/386,0.81699552,0.839006493,0,0,0.678035248,0.137045615,GRIA2;SYT1;DNAJC5
DNA Replication R-HSA-69306,1/155,0.830718016,0.851748852,0,0,0.563699575,0.10454647,PSMB8
Regulation Of TP53 Activity R-HSA-5633007,1/157,0.83456864,0.854345148,0,0,0.556415929,0.100622416,SGK1
Metabolism Of Lipids R-HSA-556833,6/732,0.841897431,0.860488226,0,0,0.712277028,0.122580802,SLC25A1;MBTPS1;SCD;ARSJ;PIP5K1A;CRAT
Anti-inflammatory Response Favoring Leishmania Infection R-HSA-9662851,1/165,0.849118449,0.865475709,0,0,0.529057846,0.086530896,MYH9
Signaling By WNT R-HSA-195721,2/294,0.849448381,0.865475709,0,0,0.593028919,0.096763404,MYC;PSMB8
RAC1 GTPase Cycle R-HSA-9013149,1/178,0.870093348,0.885118508,0,0,0.489875506,0.068168517,AMIGO2
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,1/182,0.875942983,0.889672497,0,0,0.478951743,0.063439207,GRIA2
Cilium Assembly R-HSA-5617833,1/186,0.881530316,0.893946236,0,0,0.468500359,0.059075968,TUBB4B
Peptide Ligand-Binding Receptors R-HSA-375276,1/196,0.894426658,0.905606991,0,0,0.444247788,0.049565779,ECE1
Phospholipid Metabolism R-HSA-1483257,1/208,0.908069987,0.917986508,0,0,0.418237784,0.040332269,PIP5K1A
Transcriptional Regulation By TP53 R-HSA-3700989,2/354,0.91288318,0.921414798,0,0,0.490429293,0.044701335,FOS;SGK1
Biological Oxidations R-HSA-211859,1/218,0.918087782,0.925226878,0,0,0.398760246,0.034078956,PAPSS2
Organelle Biogenesis And Maintenance R-HSA-1852241,1/275,0.957611693,0.963559591,0,0,0.314885989,0.01363863,TUBB4B
DNA Repair R-HSA-73894,1/310,0.971740666,0.97626039,0,0,0.278718103,0.007989821,UBA7
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,1/327,0.976798079,0.979822221,0,0,0.263952983,0.006196382,ECE1
GPCR Ligand Binding R-HSA-500792,1/458,0.994950889,0.99648868,0,0,0.18702194,9.47E-04,ECE1
Signaling By GPCR R-HSA-372790,1/689,0.999662924,0.999662924,0,0,0.122742591,4.14E-05,ECE1
