"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000006648",18.131830657852,-0.364394853596284,1.01741301879723,-0.358158237474755,0.720224898569164,0.918383862787041
"ENSBTAG00000054829",39.7212473329766,0.121422721034358,1.03429161059299,0.117396989196057,0.906545469849135,0.978305563138831
"ENSBTAG00000001753",16.0302269242966,0.241113097624662,0.965192420522146,0.24980832059811,0.802735584811662,0.948190752367487
"ENSBTAG00000020035",663.53414938834,2.09324518274035,0.690360748210178,3.0321034157392,0.00242855985602116,0.0867614913268736
"ENSBTAG00000001150",26.7572245357,-0.389273264673223,0.786799870360819,-0.494755120504413,0.620772987589833,0.874266440513586
"ENSBTAG00000011528",2214.90571673135,0.00593482796878553,0.451639670470406,0.0131406259388244,0.989515599179148,0.998510113259637
"ENSBTAG00000012594",401.151770480533,1.58527084717027,0.716786569935215,2.21163581135951,0.0269918389266865,0.271124819239712
"ENSBTAG00000018278",3490.25221232159,-0.234686041639479,0.461257718888517,-0.508795911762729,0.61089528531558,0.870846912348156
"ENSBTAG00000021997",92.8114958027472,0.705500612773209,0.669643347966801,1.0535468095297,0.29209045253962,0.686035971242644
"ENSBTAG00000053248",8.63615582587251,-0.757570024367044,1.3057520370249,-0.58017908675305,0.561793855147044,0.849469962043709
"ENSBTAG00000008490",293.378818876692,-0.327640000119388,0.677232770758539,-0.483792300470652,0.628533279939236,0.87837977836954
"ENSBTAG00000035175",738.010826040365,0.0111825127996355,0.588785641913165,0.0189925025401429,0.984847086438609,0.997335239181919
"ENSBTAG00000008482",10268.9597329818,-0.415238749944092,0.354002077895243,-1.17298393391626,0.240802248498695,0.641967520002671
"ENSBTAG00000009188",94.0565491848555,0.303320011386253,0.462425238578194,0.65593308081294,0.511867182231723,0.828705111837573
"ENSBTAG00000009187",197.523419302376,-0.987430223446831,0.471962034673318,-2.09218146991486,0.0364222854494415,0.307406619983242
"ENSBTAG00000001258",3601.25424268118,-0.215704278971299,0.455176772279414,-0.473891226679042,0.635577475810513,0.881545529731142
"ENSBTAG00000012899",59.4615048419377,2.74954522239825,0.894043311134039,3.07540494756414,0.00210216922508624,0.0820035980425951
"ENSBTAG00000021819",16.3857745119239,0.939471205696227,1.0958916015275,0.857266543868712,0.391297593836898,0.756539823287787
"ENSBTAG00000019404",85.3011076412583,0.524263325481433,0.69302309076844,0.756487529008764,0.449356946721685,0.793281545425643
"ENSBTAG00000015212",5.90061685754269,3.06946916988566,1.90989185301166,1.60714292018446,0.108023019945864,0.476752497075071
"ENSBTAG00000051429",1.21821641640711,0.608395710959398,2.18890593569339,0.277945114515245,0.781054491412196,NA
"ENSBTAG00000037547",383.830531052939,0.32166304068695,0.46278984120257,0.695052077744624,0.487022665567275,0.814450483560475
"ENSBTAG00000043993",3.38375518780439,1.60743634458667,1.9134384297379,0.840077380909953,0.400865001412608,0.761204828112321
"ENSBTAG00000003064",250.490282478486,1.23959803640281,0.590035583690198,2.10088691371819,0.0356508944376756,0.303355188163199
"ENSBTAG00000003063",148.662210218186,-0.422542437616927,0.42656552388969,-0.990568655816161,0.321896249271128,0.70652836988119
"ENSBTAG00000003059",1634.7711152089,-0.0118040588033122,0.335765589107346,-0.0351556537842192,0.971955623507196,0.993912246965124
"ENSBTAG00000012412",15.2368062407241,1.71858889754927,0.892388012285888,1.92583144763121,0.0541254234010335,0.367115947647028
"ENSBTAG00000016619",1559.16429574021,-0.222528201174442,0.43601215195935,-0.510371557706468,0.609791179168855,0.870451609980022
"ENSBTAG00000020762",3.31447934136262,-0.383432657916255,2.32922228866562,-0.164618319076758,0.869244411398268,0.967774712843045
"ENSBTAG00000018855",184.690857456991,0.671593832762588,0.436747696932282,1.53771579674001,0.124118119518057,0.503545291507569
"ENSBTAG00000018854",5145.25113245734,0.219232931093254,0.403638646368613,0.543141577412401,0.587032327781958,0.861584259851772
"ENSBTAG00000051337",8.12351158937484,-0.699873186068573,1.29816129216074,-0.539126524796979,0.589799554389,0.862422990158859
"ENSBTAG00000017839",21.9750141668791,0.273701941994623,1.11262947906112,0.245995587161311,NA,NA
"ENSBTAG00000048631",1176.24555449721,0.227931320546707,0.432315450555993,0.527233806364239,0.598031235017431,0.865373104498568
"ENSBTAG00000004139",77.3110925568012,0.505266334202644,0.565977484104964,0.892732217080458,0.372000593091578,0.741559169160672
"ENSBTAG00000007444",282.21919875599,-0.285534527022516,0.481490367554057,-0.593022303796056,0.553166225810988,0.84630681477574
"ENSBTAG00000014233",16935.7932809605,-0.389024717875432,0.462735468574209,-0.840706503597193,0.400512376252579,0.760931751337016
"ENSBTAG00000020122",1174.66076312355,-0.56474141229237,0.349640069265052,-1.61520792934135,0.106265673983891,0.474985729527506
"ENSBTAG00000020121",74.4481077199694,-0.12237990835719,0.648518606363862,-0.188706857685016,0.850322576504414,0.961495351874491
"ENSBTAG00000000201",126.427826779476,-0.0952288086976035,0.508668553722965,-0.187211904491874,0.851494491419503,0.961738937531251
"ENSBTAG00000038433",4318.97092843922,-1.58723890180939,0.537310765727271,-2.95404261937875,0.0031364068773723,0.0993831883577798
"ENSBTAG00000001412",38.4457003371613,-0.0682626600613581,1.09415061337837,-0.0623887234780101,0.950253274827772,0.989233811475655
"ENSBTAG00000000648",0.285312183758391,2.26022266924723,3.7635405478722,0.60055754428502,0.548134722717369,NA
