"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000006648",18.131830657852,-0.534958916966783,1.02618236218708,-0.521309795099807,0.602150978600877,0.849240334747845
"ENSBTAG00000054829",39.7212473329766,-1.33182872081427,1.04084363770599,-1.27956656751019,0.200697614176264,0.550759213079049
"ENSBTAG00000001753",16.0302269242966,0.381209289900279,0.957929322891194,0.397951373645944,0.690666029954596,0.892652075586895
"ENSBTAG00000020035",663.53414938834,-2.81965945512527,0.691037393704039,-4.08032833073124,4.49721324327215e-05,0.00802164244447602
"ENSBTAG00000001150",26.7572245357,0.414542816277858,0.78645238341701,0.527104787293968,0.598120822458013,0.847132184438035
"ENSBTAG00000011528",2214.90571673135,0.18541799796324,0.451603786198004,0.410576712662777,0.681382942321918,0.888815842920153
"ENSBTAG00000012594",401.151770480533,-0.0673925044827467,0.715476135206291,-0.0941925260208933,0.924956221750238,0.975193641484779
"ENSBTAG00000018278",3490.25221232159,0.35241772554087,0.46124381707112,0.764059511472065,0.444831778991924,0.75430033180036
"ENSBTAG00000021997",92.8114958027472,-1.1725872095533,0.671276654634891,-1.74680171201704,0.0806717395279249,0.366044733428011
"ENSBTAG00000053248",8.63615582587251,1.07505246111805,1.30132811643966,0.826119444847864,0.408736338311846,0.730884648770928
"ENSBTAG00000008490",293.378818876692,1.15594081122864,0.676563735996336,1.70854680753227,0.087534928943874,0.381915221902183
"ENSBTAG00000035175",738.010826040365,0.154214714340268,0.588712916260012,0.261952320190231,0.793358201844493,0.934617692187274
"ENSBTAG00000008482",10268.9597329818,0.447710418536841,0.353999792709892,1.26471943700754,0.205971919782265,0.55593660968164
"ENSBTAG00000009188",94.0565491848555,-1.0765483199949,0.466120534149118,-2.30959213577683,0.0209107454057396,0.193918709699851
"ENSBTAG00000009187",197.523419302376,0.549083780782453,0.472637695293858,1.16174352204613,0.245339661414438,0.600289115944655
"ENSBTAG00000001258",3601.25424268118,0.336897313289583,0.455162726489007,0.740168941091267,0.459197490904154,0.765054544706957
