"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSBTAG00000006648",18.131830657852,-0.899353770563066,1.02217038887739,-0.879847215639643,0.37894208267476,1
"ENSBTAG00000054829",39.7212473329766,-1.21040599977992,1.04089865048091,-1.16284712178337,0.24489153468898,1
"ENSBTAG00000001753",16.0302269242966,0.622322387524941,0.95976176059139,0.648413401198101,0.516717604941941,1
"ENSBTAG00000020035",663.53414938834,-0.726414272384921,0.691838069252996,-1.0499773063504,0.293728546605601,1
"ENSBTAG00000001150",26.7572245357,0.0252695516046342,0.781926879337423,0.0323170264028354,0.974219231190573,1
"ENSBTAG00000011528",2214.90571673135,0.191352825932025,0.451584857777028,0.423736143133715,0.671758253085166,1
"ENSBTAG00000012594",401.151770480533,1.51787834268752,0.716758058948645,2.11769972271254,0.0342005063681511,1
"ENSBTAG00000018278",3490.25221232159,0.117731683901391,0.461203200854828,0.255270743314831,0.79851399500666,1
"ENSBTAG00000021997",92.8114958027472,-0.467086596780088,0.672804106631099,-0.694238623362318,0.487532574629682,1
"ENSBTAG00000053248",8.63615582587251,0.317482436751004,1.28391892122653,0.247276079121658,0.804694570148104,1
"ENSBTAG00000008490",293.378818876692,0.828300811109257,0.676035544469159,1.22523263441667,0.220487581878782,1
"ENSBTAG00000035175",738.010826040365,0.165397227139903,0.588671938121342,0.28096672599639,0.778735921025619,1
"ENSBTAG00000008482",10268.9597329818,0.0324716685927494,0.353972022649857,0.0917351273969744,0.926908487423531,1
"ENSBTAG00000009188",94.0565491848555,-0.773228308608646,0.466809588091907,-1.6564105115519,0.0976387138264937,1
"ENSBTAG00000009187",197.523419302376,-0.438346442664378,0.470355530624368,-0.931947036069715,0.351363897756338,1
"ENSBTAG00000001258",3601.25424268118,0.121193034318284,0.45512513737271,0.266285081544589,0.790019661661187,1
"ENSBTAG00000012899",59.4615048419377,-0.147547056971966,0.906590866960707,-0.162749330871388,0.870715804332185,1
"ENSBTAG00000021819",16.3857745119239,0.0351325507079373,1.10320101430509,0.0318460101580558,0.974594854426763,1
"ENSBTAG00000019404",85.3011076412583,-0.674399170196759,0.696588855871074,-0.968145218679148,0.332971849358675,1
"ENSBTAG00000015212",5.90061685754269,-0.467878748481203,1.99997178519332,-0.233942674564269,0.815029482783807,1
"ENSBTAG00000051429",1.21821641640711,0.455367042962917,2.19068675944291,0.207864972479551,0.835334399680834,1
"ENSBTAG00000037547",383.830531052939,0.0326389934721793,0.462948152472321,0.0705024813208013,0.943793725658277,1
"ENSBTAG00000043993",3.38375518780439,-1.60345839107337,2.05697380324591,-0.779523000508374,0.435671694097452,1
"ENSBTAG00000003064",250.490282478486,0.970497594664384,0.590178210002382,1.64441448060318,0.100090616000241,1
"ENSBTAG00000003063",148.662210218186,0.0168071644355008,0.424863666003687,0.0395589592152954,0.968444747610189,1
"ENSBTAG00000003059",1634.7711152089,0.0823439625491648,0.33569397675874,0.245294727490284,0.806228233924085,1
"ENSBTAG00000012412",15.2368062407241,0.509861472269134,0.905134844884862,0.563298910820289,0.573231359670716,1
"ENSBTAG00000016619",1559.16429574021,0.547525973204386,0.435774647280829,1.2564429266844,0.208955426297215,1
"ENSBTAG00000020762",3.31447934136262,0.691469923673974,2.30000080061864,0.300638992598606,0.763689794387233,1
"ENSBTAG00000018855",184.690857456991,0.0541002642372959,0.437777550025489,0.123579348082482,0.901648344967803,1
"ENSBTAG00000018854",5145.25113245734,0.656454692758567,0.403593611762702,1.62652399251685,0.103838233668698,1
"ENSBTAG00000051337",8.12351158937484,-0.089578031095588,1.283961984978,-0.0697668872938811,0.944379203045297,1
"ENSBTAG00000017839",21.9750141668791,-0.620239454349167,1.11872806790627,-0.554414850348718,NA,NA
"ENSBTAG00000048631",1176.24555449721,-0.515044987088322,0.432546862111909,-1.19072644423685,0.233760993080682,1
"ENSBTAG00000004139",77.3110925568012,-0.0868667842639001,0.567830240346595,-0.152980200932726,0.878413888861702,1
"ENSBTAG00000007444",282.21919875599,0.7528105710834,0.479920001082974,1.56861678901615,0.11673725803793,1
"ENSBTAG00000014233",16935.7932809605,0.262394187581196,0.462716970533457,0.567072755681916,0.570664751961737,1
"ENSBTAG00000020122",1174.66076312355,-0.552631670045028,0.349569976626625,-1.58088997052311,0.1139031979366,1
"ENSBTAG00000020121",74.4481077199694,0.53415580367446,0.645653603897054,0.827310186840727,0.408061271375781,1
"ENSBTAG00000000201",126.427826779476,-1.20806521417029,0.512131074967903,-2.35889847974174,0.0183292693271693,1
"ENSBTAG00000038433",4318.97092843922,0.815540929027956,0.537012580601972,1.51866261329253,0.12884744184036,1
"ENSBTAG00000001412",38.4457003371613,1.27204214338439,1.08788633544644,1.16927853759868,0.242291427400671,1
"ENSBTAG00000000648",0.285312183758391,0,3.81698448996244,0,1,1
"ENSBTAG00000000706",172.267428526518,1.13573783620411,0.734508936383922,1.54625461984913,0.122043086988243,1
"ENSBTAG00000045024",0.6838298895963,0.695528755317102,3.65987584706941,0.190041625557882,0.849276512375141,1
"ENSBTAG00000050914",33.8447899634002,-2.94605637689775,2.55091123271462,-1.15490352589127,NA,NA
"ENSBTAG00000017753",56.1787122315022,-0.150643106382335,0.681013190149364,-0.221204388639367,0.824933292259872,1
"ENSBTAG00000019043",147.422895538627,-0.112948548919777,0.457312005938612,-0.246983563634975,0.804920944415712,1
"ENSBTAG00000000605",35454.543184467,0.118149068410582,0.390618482531161,0.302466661702718,0.762296344077861,1
"ENSBTAG00000000603",147.831712792687,0.882899508170767,0.788065980182721,1.12033704077171,0.262570163213829,1
"ENSBTAG00000019542",7845.11727480961,0.261607975920342,0.545193865175754,0.479843946585877,0.631338361317829,1
"ENSBTAG00000036404",98.4170329613358,-0.312569003173445,1.01816826832261,-0.306991499242447,0.758849842638664,1
"ENSBTAG00000038900",2.6560266513679,2.41677338858766,1.66602647623376,1.45062123745539,0.146885358252749,1
"ENSBTAG00000003301",35.1288598882504,-0.552690040571813,0.855890508072382,-0.645748533672338,0.518442223557521,1
"ENSBTAG00000000597",14.2295008559103,-0.679719410307153,1.37152431847682,-0.495594136502102,0.620180790534809,1
"ENSBTAG00000000588",6.14051972257675,0.294808374569923,2.31861205807389,0.12714864202631,0.8988227530795,1
"ENSBTAG00000001395",560.395688998286,-0.249650257472913,0.377313672867699,-0.661651764632579,0.50819442442647,1
"ENSBTAG00000018704",231.912678223608,0.258301076073063,0.829208267547579,0.311503257000801,0.755418067246492,1
"ENSBTAG00000004869",156.657512539564,-0.799347679570162,0.534561704859253,-1.4953328536331,0.134827594948239,1
"ENSBTAG00000054337",10.0358730788533,0.0945338136584175,1.11297857857343,0.0849376757813137,0.932310939057183,1
"ENSBTAG00000053883",39.4294729220172,0.463658488483979,0.644100502306401,0.719854256942367,0.471614734634481,1
"ENSBTAG00000019314",1990.716589452,-0.0402519863194144,0.543530675186507,-0.074056512644116,0.940965418079123,1
"ENSBTAG00000052575",4.62128815106925,0.495514250542813,1.9664157483424,0.251988548688398,0.801049915083851,1
"ENSBTAG00000047293",10.8090348819195,0.254022160109508,0.977354377285573,0.259907937195727,0.794934788631353,1
"ENSBTAG00000012908",101.379589278348,-0.449059074474863,0.646419370918855,-0.694686908649639,0.487251534011344,1
"ENSBTAG00000054574",4.49949794557257,-5.67997261558003,2.28766594149857,-2.48286802392979,0.0130329363584707,0.960921211684012
"ENSBTAG00000034347",10.0687444347353,-0.219078894903914,1.25072825999657,-0.175161065685456,0.860953076392763,1
"ENSBTAG00000038512",2.43198050689438,-3.40837709199112,2.20622137066336,-1.5448935167219,0.122372021910725,1
"ENSBTAG00000038422",580.089209917164,-0.558205319937061,0.711647740269699,-0.784384307502351,0.432814643489351,1
"ENSBTAG00000048578",450.16434541552,0.380971833726928,0.472962419570809,0.805501278669543,0.420530468788528,1
"ENSBTAG00000046755",61.0096365817435,-0.4905385089736,0.622496195850244,-0.788018484681005,0.430685893720947,1
"ENSBTAG00000010462",125.66944916337,-0.186389362799435,0.453535200497246,-0.410970003199492,0.681094530359212,1
"ENSBTAG00000009851",892.958313742346,-0.0332058841242403,0.490000621163624,-0.0677670245506729,0.945971093991895,1
"ENSBTAG00000036262",388.332722987542,0.214851549276,0.551650903060687,0.389470130627819,0.696928402148277,1
"ENSBTAG00000045974",10.4363921710599,-0.0589520388567969,1.13742565210718,-0.0518293558331333,0.958664664407888,1
"ENSBTAG00000026156",1.87965878475535,-1.31389312597228,3.13053504852433,-0.419702416873315,0.674702859295578,1
"ENSBTAG00000007939",1316.84105856989,0.0487116298193684,0.498428672500783,0.0977303925453685,0.922146381310943,1
